coinpair,timeframe,length_in_days,trend,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
btc,4h,976.8333333333333,_recentYear,392.37442740373234,10,7.5,12,6,73.21671985946288,6,-7.820981958840831,12.050400432122817,"""[23.886726500392825, 26.829285479166284, 11.398724357959685, 318.9859088381178, 35.79665865736414, 22.40301532377657]""","""[-8.688582045965724, -2.784285963499498, -15.736883843443517, -7.157163602220987, -1.5027795932187495, -11.05619670469651]"""
btc,4h,976.8333333333333,_recentYear,375.87242243619386,11,7.5,13,6,71.89888479266347,7,-7.931555188540992,11.543599392341733,"""[17.34241131353104, 26.829285479166284, 11.398724357959685, 317.62321362418305, 35.79665865736414, 22.40301532377657]""","""[-9.312327051965951, -8.688582045965724, -2.784285963499498, -15.019551358219527, -7.157163602220987, -1.5027795932187495, -11.05619670469651]"""
btc,4h,976.8333333333333,_recentYear,356.16381070039625,11,8.0,12,6,68.30625660892714,6,-8.945621492194443,10.938318704328841,"""[19.535010468945654, 25.096490562271867, 11.398724357959685, 298.1265404114071, 35.79665865736414, 19.884115195614385]""","""[-8.688582045965724, -4.5132181473787725, -16.533641928501048, -7.670233091234538, -2.5585710917673428, -13.709482648319234]"""
btc,4h,976.8333333333333,_recentYear,207.08678208774458,11,7.0,17,7,43.88707919856419,10,-10.012277230220471,6.359942121787071,"""[20.750599771490368, 30.23728292441975, 11.398724357959685, 58.90813955065628, 123.78252463141122, 38.29570136357821, 23.836581790433772]""","""[-7.729716233671111, -6.99756624023634, -10.178670569304467, -12.414815276053433, -14.18581475500374, -19.259202826046415, -7.157163602220987, -0.4707959752639055, -10.672830119707793, -11.05619670469651]"""
btc,4h,976.8333333333333,_recentYear,365.1989048861842,17,7.5,13,6,72.40356503723174,7,-9.888926476743745,11.215799842947135,"""[22.83952765841257, 22.176712622153648, 11.398724357959685, 315.68229825060365, 37.43213524330685, 24.891992090954034]""","""[-7.729716233671111, -7.835823268624087, -22.750396500327014, -7.670233091234538, -0.4707959752639055, -11.845483117866848, -10.920037150218711]"""
btc,4h,976.8333333333333,_recentYear,376.614358588393,17,8.0,11,5,87.4551325349496,6,-10.110217347725824,11.566385351631249,"""[17.34241131353104, 46.05127912947257, 315.68229825060365, 35.79665865736414, 22.40301532377657]""","""[-7.9455703956216555, -7.835823268624087, -22.750396500327014, -9.007000431869304, -1.277030372046032, -11.845483117866848]"""
btc,4h,976.8333333333333,_recentYear,150.35908510899515,10,7.0,17,8,30.1073272570823,9,-10.055503660851473,4.617750438426741,"""[23.94217937740406, 28.180690263982918, 11.398724357959685, 48.91523825887225, 46.3776682618622, 20.554853862212948, 37.652681883930576, 23.836581790433772]""","""[-7.9455703956216555, -6.99756624023634, -10.178670569304467, -12.414815276053433, -15.019551358219527, -19.259202826046415, -7.157163602220987, -0.4707959752639055, -11.05619670469651]"""
btc,4h,976.8333333333333,_recentYear,209.63242248849843,18,7.0,16,8,36.90652888189092,8,-10.70247607082861,6.4381225128697706,"""[24.472172126103068, 25.096490562271867, 11.398724357959685, 44.24729237133345, 123.78252463141122, 38.29570136357821, 27.08435105992994, 0.8749745825399233]""","""[-6.391212756099305, -8.688582045965724, -12.308625929925674, -12.414815276053433, -18.326068722848035, -4.72498356765114, -11.845483117866848, -10.920037150218711]"""
btc,4h,976.8333333333333,_recentYear,389.5336571102472,18,8.0,10,5,87.74784542920347,5,-9.84111400715402,11.96315616445052,"""[20.750599771490368, 46.05127912947257, 315.68229825060365, 35.79665865736414, 20.458391337086542]""","""[-7.9455703956216555, -7.835823268624087, -22.750396500327014, -9.007000431869304, -1.6667794393280446]"""
btc,4h,976.8333333333333,_recentYear,194.11340732728294,17,7.0,17,8,36.971836850826506,9,-11.295698608814345,5.961510547502292,"""[24.472172126103068, 25.096490562271867, 11.398724357959685, 44.24729237133345, 123.78252463141122, 38.29570136357821, 27.60681481141465, 0.8749745825399233]""","""[-6.391212756099305, -7.533647478210626, -12.308625929925674, -12.414815276053433, -17.005941948399144, -18.326068722848035, -7.157163602220987, -9.603774615353197, -10.920037150218711]"""
btc,1h,1026.0416666666665,_recentYear,270.89115589393674,11,19.5,13,9,34.36780782293878,4,-9.604778628128074,7.92047237537602,"""[2.3025261188587356, 24.583377994119537, 26.82276443182749, 13.870334178323617, 167.29433594424245, 17.543057177321106, 35.14779755967209, 21.583556014989018, 0.16252098709496843]""","""[-7.818997675622923, -16.533641928501048, -4.633255827320957, -9.433219081067366]"""
btc,1h,1026.0416666666665,_recentYear,251.509245799077,11,19.0,15,9,33.872423436674836,6,-8.89042752183276,7.353772872094842,"""[2.3025261188587356, 16.128447204968946, 16.31787269346141, 14.036766084268248, 179.4703115830249, 19.184830523408753, 35.14779755967209, 22.1007381753155, 0.16252098709496843]""","""[-8.197504771652422, -7.127898614007873, -7.818997675622923, -16.13168916132502, -4.633255827320957, -9.433219081067366]"""
btc,1h,1026.0416666666665,_recentYear,263.3300418853179,11,20.0,13,8,38.01294102180576,5,-8.154697257825635,7.6993961485250315,"""[1.4551022031816432, 24.583377994119537, 26.82276443182749, 13.870334178323617, 167.29433594424245, 14.955582062012931, 35.14779755967209, 19.974233801066294]""","""[-8.498710614599554, -16.79396610169492, -4.8365768332861485, -0.4707959752639055, -10.173436764283645]"""
btc,1h,1026.0416666666665,_recentYear,247.96659554416237,13,19.0,14,8,37.46250920229031,6,-8.622246345693362,7.250190813880078,"""[2.3025261188587356, 15.182857142857134, 26.82276443182749, 14.036766084268248, 167.29433594424245, 17.201408056170013, 35.00398174737786, 21.855434092720582]""","""[-8.197504771652422, -7.818997675622923, -16.533641928501048, -5.348703341568948, -1.108698954908156, -12.72593140190667]"""
btc,1h,1026.0416666666665,_recentYear,265.8212140445726,14,19.0,13,8,39.58186734870256,5,-10.16674494900957,7.772234481709333,"""[2.3025261188587356, 22.924414473586992, 27.726473235827786, 14.036766084268248, 178.56213123078783, 19.184830523408753, 31.462883888238444, 20.45491323464371]""","""[-7.818997675622923, -16.79396610169492, -8.991936867872496, -4.502892697950834, -12.72593140190667]"""
btc,1h,1026.0416666666665,_recentYear,259.4406381057918,15,19.0,13,8,38.83933758459283,5,-10.254812514190172,7.5856755100982785,"""[1.4551022031816432, 21.861212831404707, 27.726473235827786, 13.870334178323617, 178.56213123078783, 17.543057177321106, 30.960799113024976, 18.73559070687099]""","""[-7.818997675622923, -16.853681067007763, -8.991936867872496, -4.883515558541009, -12.72593140190667]"""
btc,1h,1026.0416666666665,_recentYear,258.2296165105059,13,19.5,13,8,37.8701738915458,5,-8.946354924372105,7.550266959901086,"""[1.4551022031816432, 24.583377994119537, 26.82276443182749, 14.036766084268248, 167.29433594424245, 14.955582062012931, 34.165019461428415, 19.648442951285702]""","""[-7.818997675622923, -16.79396610169492, -6.284180487727861, -1.108698954908156, -12.72593140190667]"""
btc,1h,1026.0416666666665,_recentYear,247.4374231196373,14,19.5,13,8,37.404813553539505,5,-10.360217061735751,7.234718564310208,"""[1.4551022031816432, 22.924414473586992, 26.82276443182749, 13.870334178323617, 165.85315824570216, 17.201408056170013, 31.462883888238444, 19.648442951285702]""","""[-7.818997675622923, -17.380703804735663, -8.991936867872496, -4.883515558541009, -12.72593140190667]"""
btc,1h,1026.0416666666665,_recentYear,256.1897667138858,14,20.0,12,8,36.60137477958155,4,-9.155307880691634,7.490624651126813,"""[1.4551022031816432, 22.371560951563517, 26.228767477263414, 13.870334178323617, 165.85315824570216, 14.955582062012931, 31.462883888238444, 16.613609230366663]""","""[-8.498710614599554, -10.513073947719295, -4.883515558541009, -12.72593140190667]"""
btc,1h,1026.0416666666665,_recentYear,247.17830413190399,13,20.0,13,8,37.151321728380694,5,-10.006453939028308,7.227142293399833,"""[1.4551022031816432, 24.488415059214148, 26.82276443182749, 13.870334178323617, 165.85315824570216, 14.955582062012931, 31.462883888238444, 18.30233375854512]""","""[-8.498710614599554, -17.380703804735663, -8.991936867872496, -2.434987006027158, -12.72593140190667]"""
btc,15m,929.2291666666666,_recentYear,91.15472783456161,7,8.5,207,78,5.746805622937876,129,-2.768186905074362,2.9429143349498625,"""[9.614576416964598, 4.450062954821911, 1.5375894779083383, 5.805978260869568, 5.672495942322267, 0.12569099173072873, 11.547149968504907, 2.8010384046751544, 21.997144762323632, 6.728709170923728, 3.290017865291905, 5.968230553916535, 0.8574246011366526, 1.1167468299081726, 2.613484146349426, 13.251393418933993, 0.9532082704106093, 1.5581642304534231, 2.0232619908494196, 1.4820042403801514, 4.109225714892327, 12.342600665110714, 9.051894889692136, 1.104741616448524, 11.532961102321893, 6.995162103305404, 22.846749885035806, 9.074767247463337, 10.033894306754135, 8.812765292042085, 11.537046973792338, 9.603814645120178, 11.461906358673415, 4.068855650866247, 18.148511066398388, 5.638855041316606, 0.6564727752930448, 1.8604724843895482, 2.932562813954204, 1.5052594421406273, 1.448370310138024, 2.2529699070244904, 5.48921868439287, 5.064279105781324, 0.8846258603169999, 19.993101226361702, 2.062144763399754, 12.522844001245549, 1.0995893170129318, 5.454642510514403, 0.2133863397861726, 1.0806854291619483, 1.9936727834439663, 10.239237082040665, 13.402978110316154, 4.59692931005487, 2.3810313148970534, 6.988442003479439, 0.439290524243076, 1.200674234798014, 0.14247512860151967, 13.297942657152273, 1.1960020481157232, 7.641727316626529, 4.1514681289858935, 5.037510351837153, 8.125606732670503, 1.3945063276825196, 0.23645939443580166, 1.347013113413956, 5.429443335561674, 2.1051123340212956, 3.7219608961712733, 0.5822263106113637, 0.7728194309917349, 4.059071660687057, 12.661197481537114, 10.827290547955547]""","""[-2.283300423324241, -2.654309327036592, -2.573966059295173, -3.862008105634731, -0.7686404500933942, -0.9810423537970461, -1.3109434565252047, -0.21521457456329202, -4.300290310275301, -8.553279514162337, -6.593777804684305, -4.488170805580547, -2.561908863800208, -2.894746894367089, -3.4193620899283936, -1.4379944558971127, -5.252221217253354, -1.4439037309232936, -1.0365359056498815, -0.48377449970484065, -1.7652269094182156, -2.001249312004765, -1.281339223185912, -1.490514536752928, -1.1720912108214736, -3.0115043456172983, -0.20758806404282854, -1.039969936406471, -1.4237345119856792, -4.785661576536902, -0.22427876007703762, -2.4911131059245912, -1.3557470734629933, -2.4890887331073097, -0.9545970919681281, -1.5283039668609466, -1.946657279815547, -2.9638943457319002, -0.3368760829803581, -0.49601718217113083, -3.256054629484309, -1.7942293866201857, -2.7255651673832975, -4.7203135637246785, -8.921645370098663, -0.7390917409326516, -6.14562645486729, -4.067974740640501, -3.938060989894683, -9.315642501263783, -2.5440379479666104, -4.963441295546564, -1.6325036616000679, -4.628784199720682, -4.573733966353838, -2.577464746858458, -2.5074226140104727, -3.21060741135922, -2.9008747855917654, -4.042135123942305, -1.7609107434854472, -7.665325844807223, -3.932903183149689, -2.7300029358096904, -2.08128311277298, -3.354215265079069, -3.240242199226636, -0.5143894118552352, -2.1175655883322193, -2.7840440947956933, -3.8278546613993214, -1.1229370548381477, -5.055263008010108, -2.468837069133925, -1.495600248552961, -2.400739370008692, -3.2823860323056744, -1.7435219805623259, -2.4722795662774875, -3.7425256239970155, -1.9017865074619602, -3.7325168185171638, -1.238966836969616, -0.6648119589098263, -5.127485956705928, -1.6091111124438104, -5.3285713605327185, -1.5522936633850948, -2.7183094128150076, -4.047587643279296, -3.4541732118759043, -3.487393802798056, -1.4924577305654165, -2.405799637490005, -3.557703417043496, -3.5978848705921953, -0.2405860185212234, -2.9408264548716474, -2.786637120661376, -0.15066805303976943, -1.7697445098557176, -0.5635435353836279, -4.521462354420987, -2.821389055995157, -3.100213748724716, -1.5892042043472965, -4.962677520136863, -0.18124818318659364, -0.3203288284297815, -4.018348233290759, -3.6767049976159725, -2.01127578285233, -1.2483661800180297, -3.1071417348007144, -1.2857542069412538, -1.6379319303715199, -7.139480221471748, -1.4669195713000356, -2.043071095842291, -1.7220761322519247, -2.361763633661435, -2.0502627082856915, -1.3772118951339354, -5.6639460124731995, -4.470021376768168, -4.7574040800052, -4.067468355925358, -2.782741212631138, -1.2639564803634835]"""
btc,15m,929.2291666666666,_recentYear,11.193349316424058,13,7.0,253,89,5.008614944069525,164,-2.6498376872302662,0.3613753114286179,"""[9.614576416964598, 4.450062954821911, 1.5375894779083383, 5.805978260869568, 5.956412739419071, 0.8564450536306576, 2.4054517261710404, 3.233365885842428, 3.127431578212124, 20.47056799721924, 8.933113528356635, 3.290017865291905, 3.4620661761187814, 0.3650247365024768, 0.34222287475206525, 1.5032172617284059, 2.8626020578075377, 12.937851574116253, 1.151415762524727, 0.028763850643960365, 2.703737422137034, 1.591078155913459, 4.109225714892327, 12.781839574175226, 0.4489615421640376, 0.24136265695817416, 9.455464761737561, 1.1876175646933946, 7.225628428950761, 7.673207333937544, 25.758937109572205, 9.424492568514404, 10.68381434571621, 9.459589495069805, 2.2331942576377353, 4.66343358402946, 4.8869051848882705, 9.603814645120178, 1.7220339970492136, 10.008416990720029, 2.5752424502020252, 7.199450476024643, 0.7941456923022105, 0.4975641628220969, 1.4891220242730034, 2.2235919249881517, 4.240310166356731, 2.478072038072392, 2.556435826036115, 5.128328617914183, 7.125938563559176, 6.247689969604857, 1.2307023026756165, 19.993101226361702, 0.372967733187313, 2.062144763399754, 8.191027516046919, 1.2997449791128723, 5.385645931229384, 0.869298708146597, 2.298740280446878, 1.9936727834439663, 29.9222045324244, 5.3434186196584985, 1.9569289429739083, 6.966708354738565, 0.6683562009458721, 1.0400369066555626, 1.399048193799612, 0.5699613944298276, 1.184512126007993, 16.03142950497236, 1.1960020481157232, 2.5866800574103768, 8.449331123020382, 3.380753156658752, 4.702369315864365, 8.518589288562579, 1.3945063276825196, 0.5867291352736341, 1.546316424885097, 5.429443335561674, 2.1051123340212956, 3.0949475534857065, 1.4313516363277665, 5.555772337517089, 0.7202149345375368, 4.590172231601826, 10.945962756069491]""","""[-1.8049930814833532, -2.035708784112054, -3.7553274937900376, -3.5566866722250783, -0.9810423537970461, -0.8517335438949196, -0.21521457456329202, -4.300290310275301, -8.553279514162337, -3.1563315674711956, -3.6698170508499297, -2.1072480233383573, -2.5581775465975687, -2.4185581690979943, -1.4379944558971127, -5.252221217253354, -3.2154123010833064, -2.053078043713181, -1.4718360808227033, -1.2847074780871455, -1.0365359056498815, -2.623831112145114, -1.7432728616513815, -1.575613958089054, -1.6202309916741844, -1.5262272424905885, -1.281339223185912, -1.490514536752928, -1.155415298038431, -2.266400507716471, -3.115687291303881, -2.4191224540043903, -2.2404915912031003, -1.0902044066671248, -1.039969936406471, -0.9362555517009536, -2.3173752708483835, -0.9032254665166051, -4.785661576536902, -3.11690934928196, -0.22427876007703762, -2.320646319569118, -1.3557470734629933, -1.513673601534087, -0.3399638931462757, -1.0061658307248242, -1.7900191107501795, -2.565913938730301, -2.7810471701002943, -0.9936075257390051, -1.3588842076061234, -2.885336307196714, -2.4142720412827408, -3.8554630677058475, -3.9704581497128757, -7.0642133846041, -6.364534626985143, -5.176877546169751, -5.864204042513466, -2.2959238070432515, -0.5442754163791108, -4.493507458877221, -7.074603405205114, -3.1414391848914627, -4.155532476281373, -3.6784725046283016, -4.926404473974183, -0.7975603735271282, -5.140975734063259, -1.386699183184429, -3.9060225670430047, -2.9711976170963226, -2.0958121719199205, -4.786351146494716, -2.5074226140104727, -1.770755718152197, -2.131474310213677, -3.3226768248391005, -3.510929852416526, -0.6254758766190266, -7.665325844807223, -3.7502996258357633, -4.777547617155923, -2.7853715394071297, -2.348119321529353, -3.178658014197488, -2.8745462964653847, -3.169887200988561, -2.4566304476673197, -3.240242199226636, -2.1175655883322193, -0.6364838922477309, -3.1312284601479212, -1.5838202372979717, -3.423939356636667, -0.34636634287110923, -2.7278737474606536, -1.6098686675442093, -1.495600248552961, -0.9298596135656365, -3.617507183780875, -1.3961562909313474, -0.6712436347468363, -2.4722795662774875, -3.515270057541881, -0.8416068647156518, -3.509230357296157, -0.7585107516691237, -4.863324056733542, -1.0287600286610707, -4.087817711719608, -3.507793014045734, -1.5522936633850948, -5.724075945325738, -1.9286113825731708, -3.109894438970664, -2.558929909503398, -3.487393802798056, -0.7259709341122331, -2.405799637490005, -3.557703417043496, -3.8451657160337955, -3.710336434075763, -2.322714159351783, -2.76354996341331, -7.397230663634817, -0.15066805303976943, -1.0774693303041498, -0.224993767338727, -2.6615134965970606, -2.3688365948818726, -2.8238786128167117, -3.4676325698073343, -4.913293550551832, -3.985652227347186, -0.18124818318659364, -0.2522644339675705, -2.96502767134951, -1.497677419354835, -2.01127578285233, -0.42259885104368233, -1.7442734261088553, -2.0688644648934087, -2.2157440144248257, -0.8878020307449703, -1.4492855287087487, -5.1457716503709285, -1.4669195713000356, -1.7668530664051492, -1.7220761322519247, -2.447923272035502, -1.4819532470789714, -1.3772118951339354, -5.104586393469595, -5.6639460124731995, -0.2521288795919375, -3.335742516790574, -5.150086424724232, -4.125271713020734, -4.191442123729578, -3.7882107502676745, -3.9888251968451733, -2.9849313073242105, -1.5283345870121863]"""
btc,15m,929.2291666666666,_recentYear,154.98270147039383,7,9.0,183,78,5.759795147206568,105,-2.802679238206845,5.003589223087396,"""[9.614576416964598, 4.450062954821911, 1.5375894779083383, 7.199275362318841, 5.522414145330017, 0.12569099173072873, 9.629542137948228, 2.453981909407341, 21.634511843029326, 6.728709170923728, 3.290017865291905, 4.624297541697653, 0.7898650720637779, 1.1167468299081726, 2.613484146349426, 13.251393418933993, 0.8249557983547691, 1.566988879333262, 1.3760978550467582, 3.440591721834763, 1.427706689802988, 4.109225714892327, 12.199406648955224, 0.4576258338386896, 7.872949011473372, 0.6762000406420905, 11.360889186407919, 6.271349497403667, 22.554614424433037, 9.074767247463337, 10.908568737958584, 15.873860646775451, 11.48669501767975, 8.544118065967679, 11.461906358673415, 2.7622229938792557, 18.554229675657268, 5.368535046018501, 0.6564727752930448, 1.3364129546355052, 2.932562813954204, 1.5052594421406273, 1.3784254741154056, 2.2529699070244904, 5.17610943298617, 3.7392709799296853, 19.993101226361702, 0.786189205766542, 12.439106424007774, 1.0995893170129318, 5.454642510514403, 0.2133863397861726, 1.0806854291619483, 2.647519178535621, 9.988031081238812, 12.401945860593578, 3.8663465640885457, 2.275415186782409, 6.622195297341415, 0.439290524243076, 5.2278844852882695, 13.297942657152273, 0.6898762371488822, 7.641727316626529, 3.9240940740956782, 4.845512226037588, 10.950459567478516, 2.1666706519023533, 0.12736179809350245, 1.347013113413956, 5.429443335561674, 1.8535332120299959, 3.0949475534857065, 0.3950495809854915, 0.5264126705300989, 3.8236445913767154, 12.661197481537114, 10.220658626733908]""","""[-2.804025236414549, -1.9672632493300113, -4.5545516046086325, -1.9313249499405707, -1.481937052570894, -0.21521457456329202, -4.300290310275301, -9.744065300919736, -2.561908863800208, -2.894746894367089, -3.4193620899283936, -1.637119462610359, -5.252221217253354, -2.11433901946532, -1.0365359056498815, -0.48377449970484065, -1.7652269094182156, -2.001249312004765, -1.9292385732306203, -2.076812881923959, -1.1720912108214736, -3.0115043456172983, -1.6287714043437764, -4.932672516315762, -0.6833259155217289, -1.3557470734629933, -2.4890887331073097, -0.9545970919681281, -1.5283039668609466, -1.946657279815547, -0.49601718217113083, -4.1759069135171565, -2.4561114606076138, -5.427087936367645, -0.7390917409326516, -8.352572569787293, -4.067974740640501, -1.7762656655274423, -2.5440379479666104, -2.1335938665588943, -5.062487584404081, -3.4632412539453705, -2.8118554178149178, -1.4639224467734193, -2.6026996015189883, -8.511661149825342, -4.354477193607833, -0.08996554736672102, -3.096742632789251, -2.0990748306693887, -3.758966667626615, -3.240242199226636, -1.177123143611968, -2.1175655883322193, -3.54674468814177, -3.8278546613993214, -1.2738888015684529, -5.288114457716957, -2.468837069133925, -3.1358221253098515, -2.6668731425196883, -1.7577745148287256, -2.768602660345056, -1.9789476042978567, -4.68900768202052, -1.238966836969616, -0.8176666874426657, -1.7122619242424078, -6.153608790329513, -1.5522936633850948, -2.9057022088769577, -2.905999313376866, -3.6116681807205424, -1.4924577305654165, -2.9146090481239875, -3.605857872459244, -0.2405860185212234, -3.4822677947843697, -3.8034636494518836, -0.15066805303976943, -1.7697445098557176, -0.8399473413347806, -4.521462354420987, -4.664498255359437, -3.56309510321339, -2.0128222496312516, -5.294925432608348, -1.2152130843759488, -4.018348233290759, -3.9990989936216805, -2.01127578285233, -1.2483661800180297, -1.6326881866721354, -1.8041686346431816, -3.520499578039399, -2.668019059009751, -1.7220761322519247, -2.4999546805344295, -2.0502627082856915, -1.549821227415017, -7.269421609683081, -4.470021376768168, -5.010069297362834, -3.778365613130585, -1.2639564803634835]"""
